#node time(s) x y

4 323.5 311.8657928310391 190.26002746459332
0 324.0 176.12040827153885 19.87923700262168
1 324.0 46.77513255872402 36.44173688378144
2 324.0 240.75670539400824 209.25456805763042
3 324.0 172.49058836291448 231.63067478900155
4 324.0 311.85698916985586 190.2752888517044
0 324.5 176.14156437517605 19.906430225280094
1 324.5 46.79060318319242 36.43977838067603
2 324.5 239.22930992666895 209.613641016765
3 324.5 172.4903115713666 231.6313880553053
4 324.5 311.8481855086726 190.29055023881546
0 325.0 176.16272047881327 19.93362344793851
1 325.0 46.80607380766081 36.437819877570625
2 325.0 237.7019144593297 209.97271397589958
3 325.0 172.4900347798187 231.63210132160904
4 325.0 311.83938184748934 190.30581162592654
0 325.5 176.18387658245047 19.96081667059692
1 325.5 46.821544432129194 36.43586137446522
2 325.5 236.1745189919904 210.33178693503413
3 325.5 172.4897579882708 231.63281458791283
4 325.5 311.8305781863061 190.32107301303762
0 326.0 176.20503268608766 19.98800989325533
1 326.0 46.83701505659759 36.43390287135981
2 326.0 234.64712352465116 210.69085989416874
3 326.0 172.48948119672292 231.63352785421654
4 326.0 311.82177452512286 190.3363344001487
0 326.5 176.22618878972486 20.015203115913742
1 326.5 46.85248568106598 36.431944368254406
2 326.5 233.11972805731185 211.0499328533033
3 326.5 172.48920440517506 231.63424112052033
4 326.5 311.81297086393965 190.3515957872598
0 327.0 176.24734489336205 20.042396338572157
1 327.0 46.86795630553438 36.42998586514899
2 327.0 231.59233258997259 211.4090058124379
3 327.0 172.48892761362717 231.63495438682406
4 327.0 311.8041672027564 190.36685717437086
0 327.5 176.26850099699925 20.06958956123057
1 327.5 46.88342693000277 36.42802736204359
2 327.5 230.06493712263327 211.76807877157242
3 327.5 172.48865082207928 231.63566765312785
4 327.5 311.7953635415732 190.38211856148195
0 328.0 176.28965710063645 20.09678278388898
1 328.0 46.89889755447116 36.42606885893818
2 328.0 228.53754165529404 212.127151730707
3 328.0 172.48837403053142 231.63638091943162
4 328.0 311.78655988039 190.39737994859303
0 328.5 176.31081320427364 20.12397600654739
1 328.5 46.914368178939554 36.424110355832774
2 328.5 227.01014618795477 212.4862246898416
3 328.5 172.4880972389835 231.63709418573535
4 328.5 311.7777562192067 190.41264133570408
0 329.0 176.33196930791087 20.151169229205802
1 329.0 46.92983880340795 36.42215185272737
2 329.0 225.48275072061548 212.84529764897616
3 329.0 172.48782044743564 231.6378074520391
4 329.0 311.76895255802344 190.42790272281516
0 329.5 176.35312541154804 20.178362451864214
1 329.5 46.94530942787634 36.42019334962196
2 329.5 223.95535525327622 213.20437060811074
3 329.5 172.48754365588775 231.63852071834287
4 329.5 311.7601488968402 190.44316410992622
0 330.0 176.37428151518526 20.20555567452263
1 330.0 46.96078005234473 36.41823484651656
2 330.0 222.4279597859369 213.5634435672453
3 330.0 172.48726686433986 231.63923398464664
4 330.0 311.75134523565697 190.4584254970373
0 330.5 176.39543761882246 20.232748897181043
1 330.5 46.97625067681312 36.41627634341115
2 330.5 220.90056431859765 213.92251652637987
3 330.5 172.48699007279197 231.6399472509504
4 330.5 311.74254157447376 190.4736868841484
0 331.0 176.41659372245965 20.25994211983945
1 331.0 46.991721301281515 36.41431784030575
2 331.0 219.37316885125838 214.28158948551444
3 331.0 172.48671328124408 231.6406605172542
4 331.0 311.7337379132905 190.48894827125946
0 331.5 176.43774982609685 20.287135342497866
1 331.5 47.00719192574991 36.412359337200336
2 331.5 217.84577338391912 214.64066244464902
3 331.5 172.4864364896962 231.64137378355792
4 331.5 311.72493425210723 190.50420965837054
0 332.0 176.45890592973404 20.314328565156277
1 332.0 47.0226625502183 36.41040083409493
2 332.0 216.31837791657983 214.99973540378363
3 332.0 172.48615969814833 231.6420870498617
4 332.0 311.716130590924 190.51947104548162
0 332.5 176.48006203337124 20.34152178781469
1 332.5 47.03813317468669 36.40844233098952
2 332.5 214.79098244924054 215.35880836291815
3 332.5 172.48588290660044 231.64280031616545
4 332.5 311.70732692974076 190.53473243259268
0 333.0 176.50121813700844 20.3687150104731
1 333.0 47.053603799155084 36.40648382788412
2 333.0 213.26358698190126 215.71788132205273
3 333.0 172.48560611505255 231.6435135824692
4 333.0 311.69852326855755 190.5499938197038
0 333.5 176.52237424064563 20.395908233131514
1 333.5 47.069074423623476 36.40452532477871
2 333.5 211.73619151456197 216.07695428118728
3 333.5 172.4853293235047 231.64422684877295
4 333.5 311.6897196073743 190.56525520681484
0 334.0 176.54353034428283 20.423101455789926
1 334.0 47.08454504809187 36.402566821673304
2 334.0 210.2087960472227 216.4360272403219
3 334.0 172.4850525319568 231.6449401150767
4 334.0 311.6809159461911 190.58051659392592
0 334.5 176.56468644792005 20.450294678448337
1 334.5 47.10001567256026 36.4006083185679
2 334.5 208.68140057988347 216.79510019945644
3 334.5 172.4847757404089 231.64565338138047
4 334.5 311.67211228500787 190.595777981037
0 335.0 176.58584255155722 20.477487901106752
1 335.0 47.11548629702865 36.398649815462484
2 335.0 207.15400511254416 217.15417315859102
3 335.0 172.48449894886102 231.64636664768426
4 335.0 311.6633086238246 190.61103936814806
0 335.5 176.60699865519445 20.504681123765163
1 335.5 47.130956921497045 36.396691312357085
2 335.5 205.6266096452049 217.5132461177256
3 335.5 172.48422215731316 231.647079913988
4 335.5 311.65450496264134 190.62630075525917
0 336.0 176.6281547588316 20.531874346423574
1 336.0 47.14642754596544 36.39473280925168
2 336.0 204.0992141778656 217.87231907686015
3 336.0 172.48394536576527 231.64779318029176
4 336.0 311.64570130145813 190.64156214237022
0 336.5 176.64931086246884 20.559067569081986
1 336.5 47.16189817043383 36.39277430614627
2 336.5 202.57181871052634 218.23139203599476
3 336.5 172.48366857421738 231.64850644659555
4 336.5 311.63689764027487 190.65682352948133
0 337.0 176.670466966106 20.586260791740397
1 337.0 47.17736879490222 36.390815803040866
2 337.0 201.04442324318705 218.5904649951293
3 337.0 172.48339178266946 231.64921971289925
4 337.0 311.6280939790916 190.67208491659238
0 337.5 176.69162306974323 20.61345401439881
1 337.5 47.19283941937062 36.38885729993546
2 337.5 199.5170277758478 218.9495379542639
3 337.5 172.4831149911216 231.64993297920304
4 337.5 311.6192903179084 190.68734630370346
0 338.0 176.71277917338043 20.640647237057223
1 338.0 47.208310043839006 36.38689879683005
2 338.0 197.98963230850853 219.30861091339847
3 338.0 172.48283819957373 231.65064624550678
4 338.0 311.61048665672513 190.70260769081452
0 338.5 176.73393527701762 20.667840459715634
1 338.5 47.2237806683074 36.38494029372464
2 338.5 196.46223684116922 219.66768387253302
3 338.5 172.48256140802584 231.65135951181057
4 338.5 311.6016829955419 190.71786907792563
0 339.0 176.75509138065482 20.695033682374046
1 339.0 47.23925129277579 36.38298179061924
2 339.0 194.93484137382995 220.02675683166757
3 339.0 172.48228461647795 231.6520727781143
4 339.0 311.59287933435866 190.73313046503665
0 339.5 176.77624748429204 20.72222690503246
1 339.5 47.25472191724418 36.38102328751383
2 339.5 193.40744590649066 220.38582979080218
3 339.5 172.48200782493006 231.65278604441806
4 339.5 311.58407567317545 190.74839185214776
0 340.0 176.7974035879292 20.749420127690872
1 340.0 47.270192541712575 36.37906478440842
2 340.0 191.88005043915143 220.74490274993676
3 340.0 172.48173103338218 231.65349931072183
4 340.0 311.5752720119922 190.76365323925884
0 340.5 176.81855969156643 20.776613350349287
1 340.5 47.28566316618097 36.377106281303014
2 340.5 190.35265497181214 221.10397570907134
3 340.5 172.48145424183429 231.6542125770256
4 340.5 311.566468350809 190.7789146263699
